"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Mobile tests","Тестирование раздела О банке","Связь со службой поддержки","0","2","0","0","0"
"Mobile tests","Тестирование раздела Ипотека","Оформление заявки на семейную ипотеку","0","2","0","0","0"
"Desktop tests","Тестирование раздела О банке","Прохождение теста «Обмани мошенника»","0","1","0","0","0"
"Desktop tests","Тестирование раздела О банке","Оформление заявки на залоговое имущество","0","1","0","0","0"
"Desktop tests","Тестирование раздела Ипотека","Оформление заявки на семейную ипотеку","0","0","1","0","0"
"Desktop tests","Тестирование раздела О банке","Связь со службой поддержки","1","2","0","0","0"
"Mobile tests","Тестирование раздела Ипотека","Расчет ежемесячного платежа по ипотеке","0","3","0","0","0"
"Desktop tests","Тестирование раздела Ипотека","Расчет ежемесячного платежа по ипотеке","1","1","0","0","0"
"Mobile tests","Тестирование раздела О банке","Оформление заявки на залоговое имущество","0","2","0","0","0"
"Mobile tests","Тестирование раздела О банке","Прохождение теста «Обмани мошенника»","0","2","0","0","0"
